lat,lng,sla_bucket,orders_window,orders_per_day
13.005,77.655,NonQuickDelivery,83,0.922
13.035,77.67,NonQuickDelivery,82,0.911
13.05,77.58,NonQuickDelivery,82,0.911
12.975,77.505,NonQuickDelivery,80,0.889
13.05,77.64,NonQuickDelivery,80,0.889
12.915,77.535,NonQuickDelivery,80,0.889
12.87,77.595,NonQuickDelivery,77,0.856
12.915,77.505,NonQuickDelivery,75,0.833
13.065,77.58,NonQuickDelivery,75,0.833
12.945,77.685,NonQuickDelivery,75,0.833
12.9,77.535,NonQuickDelivery,75,0.833
12.84,77.64,NonQuickDelivery,75,0.833
12.855,77.655,NonQuickDelivery,74,0.822
13.005,77.715,NonQuickDelivery,74,0.822
12.99,77.76,NonQuickDelivery,74,0.822
13.005,77.52,NonQuickDelivery,71,0.789
13.05,77.625,NonQuickDelivery,71,0.789
12.87,77.67,QuickDelivery,71,0.789
12.96,77.625,NonQuickDelivery,68,0.756
12.9,77.52,NonQuickDelivery,68,0.756
13.065,77.61,NonQuickDelivery,67,0.744
13.035,77.685,NonQuickDelivery,66,0.733
13.05,77.505,NonQuickDelivery,66,0.733
12.99,77.64,NonQuickDelivery,65,0.722
12.87,77.64,QuickDelivery,63,0.7
12.855,77.685,NonQuickDelivery,63,0.7
12.9,77.715,NonQuickDelivery,62,0.689
12.825,77.655,NonQuickDelivery,62,0.689
13.065,77.565,NonQuickDelivery,62,0.689
12.885,77.565,NonQuickDelivery,62,0.689
12.915,77.52,NonQuickDelivery,61,0.678
12.855,77.58,NonQuickDelivery,60,0.667
12.93,77.73,NonQuickDelivery,60,0.667
13.005,77.745,NonQuickDelivery,57,0.633
12.84,77.67,NonQuickDelivery,57,0.633
12.855,77.595,NonQuickDelivery,57,0.633
12.99,77.655,NonQuickDelivery,56,0.622
12.825,77.67,NonQuickDelivery,56,0.622
12.93,77.49,NonQuickDelivery,55,0.611
12.99,77.49,NonQuickDelivery,55,0.611
13.05,77.49,NonQuickDelivery,54,0.6
12.87,77.55,NonQuickDelivery,53,0.589
12.9,77.55,NonQuickDelivery,53,0.589
12.87,77.535,NonQuickDelivery,53,0.589
13.05,77.565,NonQuickDelivery,53,0.589
12.96,77.505,NonQuickDelivery,52,0.578
13.035,77.7,NonQuickDelivery,52,0.578
12.87,77.625,NonQuickDelivery,51,0.567
12.99,77.52,NonQuickDelivery,49,0.544
13.005,77.685,NonQuickDelivery,48,0.533
13.02,77.52,NonQuickDelivery,47,0.522
12.93,77.505,NonQuickDelivery,47,0.522
12.945,77.49,NonQuickDelivery,46,0.511
13.035,77.715,NonQuickDelivery,46,0.511
13.035,77.505,NonQuickDelivery,46,0.511
12.93,77.655,NonQuickDelivery,44,0.489
